employee,goal_title,general_goal,challenge_goal,category,weight
부서원3,스킬 프론트엔드/서비스 기능 개발,"- 사용자 화면 구현
- 나의 스킬 확인 UI 개발
- 관리자 화면 일부 개발 지원","- 사용성 개선까지 반영한 기능 오픈
- 데이터 연계 안정화",AX기반혁신업무,35
부서원3,직무전환시스템 운영 습득,"- 운영 프로세스 이해
- 단순 문의/수정 요청 대응
- 운영 배포 절차 학습","- 소규모 개선 건 독립 처리
- 운영 가이드 문서화",일반업무,20
부서원3,공통 컴포넌트 및 협업 개발,"□ 공통 UI/로직 정리
□ 코드 컨벤션 적응
□ 타 개발자와 병행 개발 진행","□ 재사용 가능한 컴포넌트 체계화
□ 협업 효율 향상",동료협업,15
부서원3,영어 자기계발,"- OPIc 취득 준비
- 개발/업무 상황에서 자주 쓰는 표현 학습","- 목표 등급 취득
- 기본적인 영어 응대 자신감 확보",자기계발,15
부서원3,신기술 학습,"- React 기반 화면 구조 학습
- API 연동 패턴 이해
- 기존 시스템 소스분석",- 신규 개발 과제에 바로 투입 가능한 수준 도달,자기계발,15
부서원4,부서 운영 및 인사 업무 대응,"1. 경상 운영업무 수행
- 인사 관련 요청 대응
- 부서 운영 이슈 정리
2. 일정/현안 관리
- 팀 단위 커뮤니케이션 지원","1. 운영 리드타임 단축
2. 주요 현안 대응 프로세스 표준화",일반업무,30
부서원4,사내행사 기획 및 운영,"■ 행사 컨셉/일정/예산 수립
 ■ 유관부서 협업 및 커뮤니케이션
 ■ 현장 운영 총괄","■ 구성원 만족도 높은 대표 행사 운영
 ■ 행사 운영 매뉴얼 자산화",동료협업,20
부서원4,스킬시스템 서비스 기획,"- 현업 니즈 정리
- 사용자 여정 및 화면 요구사항 정의
- 기능 우선순위 수립","- 기획안 고도화
- 서비스 활용 확산을 고려한 개선안 제시",AX기반혁신업무,25
부서원4,AX 업무전환 학습,"□ 생성형 AI 활용법 학습
□ 기획업무 생산성 향상 도구 익히기","□ 실제 부서 운영업무에 적용
□ AI 기반 기획 문서 작성 역량 확보",자기계발,15
부서원4,조직 협업 지원,"- 부서 내 협업 안건 조율
- 운영/행사/기획 과제 간 연결 지원",- 협업 체계 개선안 도출,동료협업,10
부서원5,부서장 보좌 및 운영 지원,"□ 부서장 요청사항 정리
□ 보고자료 작성 지원
□ 대내외 일정 및 업무 현황 관리","□ 부서 운영 가시성 제고
□ 보고자료 표준화 및 신속 대응",일반업무,30
부서원5,스킬 기반 HR 확대,"- 스킬 기반 HR 적용 과제 발굴
- 유관 HR 제도와 연계 포인트 검토
- 확대 적용 로드맵 초안 수립","- 인사제도/인재운영 관점의 적용안 구체화
- 확산 과제 제안",혁신업무,25
부서원5,스킬시스템 사업기획 지원,"■ 서비스 도입 목적 정리
 ■ 기대효과 및 활용 시나리오 문서화
 ■ 관계자 설명자료 작성",■ 경영층/부서장 관점 보고자료 완성도 제고,AX기반혁신업무,20
부서원5,AX 업무전환 학습,"- AI 도구를 활용한 문서 작성/정리 방식 습득
- 반복 업무의 자동화 가능 영역 탐색",- 실제 보좌업무에 AI 적용 사례 확보,자기계발,15
부서원5,대내 협업 및 지원,"- 부서 공통 현안 정리
- 구성원 요청사항 연결 및 조율","- 협업 만족도 향상
- 업무 요청 흐름 정리",동료협업,10
부서원6,스킬텍사노미 구축 및 업데이트,"1. 스킬 분류체계 정비
- 대/중/소분류 점검
- 스킬 정의 보완
2. 정기 업데이트 운영
- 신규 스킬 반영
- 중복/불명확 스킬 정리","1. 활용도 높은 스킬체계 정착
2. 데이터 품질지표 기반 관리체계 수립",혁신업무,35
부서원6,월간 스킬 기반 리포트 운영,"■ 월간 지표 산출 및 리포트 작성
 ■ 인사이트 도출
 ■ 관계자 공유 및 피드백 반영",■ 의사결정 지원 수준의 스킬 리포트 고도화,일반업무,25
부서원6,조직문화 개선 담당,"- 조직문화 이슈 수집
- 개선 아이디어 기획
- 참여형 프로그램 운영 지원",- 구성원 체감형 개선 사례 창출,동료협업,15
부서원6,데이터 기반 HR 분석 지원,"□ 스킬/인력 데이터 분석 요청 대응
□ 지표 설계 지원
□ 데이터 해석 관점 제공",□ 예측/활용 가능한 분석 프레임 제안,혁신업무,15
부서원6,자기계발,"- OPIc 등급 취득 준비
- HR 데이터 스토리텔링 역량 강화","- 목표 등급 취득
- 대내 보고 전달력 향상",자기계발,10
부서원7,스킬 기반 교육 협업,"- 교육부서와 협업 체계 정립
- 스킬 기반 교육 연계 프로세스 정의
- 수요-교육 매핑 구조 검토","- 교육 연계 운영모델 구체화
- 협업 프로세스 정착",동료협업,25
부서원7,교육추천 알고리즘 및 시스템 POC,"■ 스킬 기반 추천 로직 설계
 ■ POC 화면/흐름 정의
 ■ 추천 결과 검증 방식 수립",■ 실제 적용 가능성을 검증하는 수준의 POC 완성,AX기반혁신업무,30
부서원7,스킬텍사노미 구축 참여,"- 교육 관점에서 스킬 정의 보완
- 유사/중복 스킬 검토
- 활용 시나리오 제안",- 교육추천에 적합한 스킬체계 반영,혁신업무,20
부서원7,교육 프로세스 개선,"- 현재 교육 신청/추천 흐름 분석
- 개선 포인트 정리",- 스킬 중심 프로세스로의 전환안 제시,혁신업무,15
부서원7,전문성 강화,"- AI 추천 기초 학습
- 교육데이터 이해 확장",- 교육/스킬 융합 기획 역량 확보,자기계발,10
부서원8,스킬텍사노미 구축 및 업데이트 메인,"□ 스킬 분류체계 설계 주도
□ 구조 개선안 제시
□ 업데이트 프로세스 운영",□ 검색/추천에 활용 가능한 수준의 체계 고도화,혁신업무,35
부서원8,스킬 기반 검색/LLM 연계 기능 개발,"- 스킬 검색 기능 설계 및 구현
- LLM 기반 질의응답/추천 가능성 검토
- 검색 정확도 개선 연구","- 스킬+LLM 연계 기능 POC 완성
- 실서비스 적용 가능 구조 제안",AX기반혁신업무,30
부서원8,AI 연구 및 기술검토,"1. 관련 기술 조사
- 검색 증강
- 임베딩/리랭킹
2. 활용 아이디어 발굴
- HR 적용 시나리오 정리","1. PoC 수준의 실험 결과 확보
2. 기술 도입 방향성 제시",혁신업무,15
부서원8,외국문화 알리기 활동,"- 외국인 구성원 관점의 문화 공유
- 교류 프로그램 참여 및 지원",- 다양성 기반 조직문화 기여 사례 확보,동료협업,10
부서원8,자기계발,"- 한국어/업무 커뮤니케이션 향상
- HR 도메인 이해 확대","- 협업 효율 향상
- 도메인 적용력 강화",자기계발,10
부서원9,브랜드/콘텐츠 디자인 운영,"■ 기존 디자인부서 요청사항 대응
 ■ 홍보물/배너/콘텐츠 디자인 수행
 ■ 기존 업무 인수인계 정리",■ 남아있는 디자인부서 업무의 안정적 마무리,일반업무,20
부서원9,스킬시스템 UI/UX 기획 및 디자인,"<사용자 경험 관점>
□ 사용자 흐름 정리
□ 화면 구조/와이어프레임 설계
<디자인 산출물>
□ 주요 화면 UI 시안 제작
□ 디자인 가이드 정리","<고도화>
□ 사용성 테스트 반영
□ 서비스 정체성에 맞는 디자인 시스템 제안",AX기반혁신업무,35
부서원9,현 부서 과제 적응,"- 스킬/HR 도메인 이해
- 개발/기획자와 협업 방식 습득
- 기존 디자인 업무와 신규 업무 병행 정리",- 현 부서 과제 중심으로 역할 전환 안정화,동료협업,15
부서원9,AX 업무전환 자기계발,"- AI 도구를 활용한 디자인 업무 학습
- 프롬프트 기반 시안 작성 방식 탐색",- AX 기반 디자인 업무 적용 사례 확보,자기계발,15
부서원9,어학 자기계발,"- 영어 커뮤니케이션 학습
- 디자인/협업 관련 표현 습득",- 기본 회의 참여 가능한 수준 확보,자기계발,15
